City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,taoudenni,22.6783,-3.9836,14.4,30,0,3.45,ML,1674460419
1,vaini,-21.2,-175.2,27.09,94,20,2.57,TO,1674460419
2,hue,16.4667,107.6,24.06,83,75,3.09,VN,1674460354
3,alice springs,27.7523,-98.0697,11.42,56,0,2.57,US,1674460419
4,saskylakh,71.9167,114.0833,-29.2,88,100,1.1,RU,1674460419
5,bubaque,11.2833,-15.8333,22.72,73,4,5.99,GW,1674460419
6,salisbury,51.0693,-1.7957,-2.47,97,0,3.09,GB,1674460192
7,busselton,-33.65,115.3333,30.57,36,0,8.4,AU,1674460419
8,jamestown,42.097,-79.2353,0.01,75,100,4.63,US,1674460420
9,puerto ayora,36.5939,-6.233,5.14,64,0,4.12,ES,1674460420
10,monchegorsk,67.9397,32.8739,-12.56,92,51,4.68,RU,1674460420
11,queenstown,-31.8976,26.8753,26.47,41,0,2.51,ZA,1674460420
12,kalmunai,7.4167,81.8167,27.34,76,78,5.35,LK,1674460421
13,mataura,-46.1927,168.8643,11.33,71,7,1.88,NZ,1674460421
14,atuona,-9.8,-139.0333,26.1,77,63,9.59,PF,1674460421
15,poronaysk,49.2167,143.1167,-21.62,98,67,2.19,RU,1674460421
16,opotiki,-38.0833,177.2833,16.53,88,100,1.43,NZ,1674460421
17,upernavik,72.7868,-56.1549,-23.94,73,100,4.1,GL,1674460405
18,mount gambier,53.6597,-1.8537,3.78,89,100,1.17,GB,1674460421
19,chokurdakh,70.6333,147.9167,-44.73,100,63,0.71,RU,1674460421
20,kapaa,22.0752,-159.319,21.99,92,6,0.45,US,1674460422
21,bensonville,6.4461,-10.6125,23.75,93,100,1.5,LR,1674460422
22,ushuaia,-54.8,-68.3,11.81,50,0,4.63,AR,1674460422
23,butaritari,3.0707,172.7902,27.28,77,99,5.58,KI,1674460422
24,schmallenberg,51.15,8.3,0.25,93,100,2.56,DE,1674460423
25,anito,12.4497,125.2886,27.04,78,76,5.4,PH,1674460423
26,salalah,17.0151,54.0924,24.41,56,9,3.76,OM,1674460423
27,port-gentil,-0.7193,8.7815,26.98,78,40,2.06,GA,1674460423
28,longyearbyen,78.2186,15.6401,0.91,55,20,6.69,SJ,1674460424
29,castro,-24.7911,-50.0119,16.67,93,98,0.14,BR,1674460424
